episode,episode_return_mean,episode_return_q1,episode_return_q3,episode_return_iqr,steps_mean,steps_q1,steps_q3,steps_iqr,mean_abs_td_error_mean,mean_abs_td_error_q1,mean_abs_td_error_q3,mean_abs_td_error_iqr,mean_abs_q_change_mean,mean_abs_q_change_q1,mean_abs_q_change_q3,mean_abs_q_change_iqr,exploration_ratio_mean,exploration_ratio_q1,exploration_ratio_q3,exploration_ratio_iqr,q_table_size_mean,q_table_size_q1,q_table_size_q3,q_table_size_iqr,q_table_nonzero_mean,q_table_nonzero_q1,q_table_nonzero_q3,q_table_nonzero_iqr,max_q_value_mean,max_q_value_q1,max_q_value_q3,max_q_value_iqr,mean_q_value_mean,mean_q_value_q1,mean_q_value_q3,mean_q_value_iqr,action_entropy_mean,action_entropy_q1,action_entropy_q3,action_entropy_iqr,td_error_std_mean,td_error_std_q1,td_error_std_q3,td_error_std_iqr,q_change_std_mean,q_change_std_q1,q_change_std_q3,q_change_std_iqr,unique_states_visited_mean,unique_states_visited_q1,unique_states_visited_q3,unique_states_visited_iqr
0,9.0,8.0,10.25,2.25,9.0,8.0,10.25,2.25,0.9423890594741181,0.9368254498875,0.9493435714573909,0.01251812156989085,0.0942389059474118,0.09368254498875,0.09493435714573906,0.0012518121569890517,0.08333333333333333,0.03125,0.125,0.09375,3.0,3.0,3.0,0.0,3.0,3.0,3.0,0.0,0.428106158119,0.428106158119,0.428106158119,0.0,0.34962263550403,0.34962263550403,0.34962263550403,0.0,0.4741393130578373,0.4741393130578373,0.4741393130578373,0.0,0.1891738087195311,0.1891738087195311,0.1891738087195311,0.0,0.0189173808719531,0.0189173808719531,0.0189173808719531,0.0,2.0,2.0,2.0,0.0
1,9.666666666666666,9.0,9.75,0.75,9.666666666666666,9.0,9.75,0.75,0.9229409584112034,0.9180188873119424,0.9247039777440146,0.006685090432072216,0.09229409584112029,0.0918018887311942,0.09247039777440146,0.0006685090432072549,0.13518518518518519,0.1111111111111111,0.15277777777777773,0.04166666666666663,4.0,4.0,4.0,0.0,4.0,4.0,4.0,0.0,0.745982038893498,0.7237359682944919,0.7682281094925041,0.04449214119801215,0.5188791982804057,0.5064146301068856,0.5313437664539259,0.024929136347040304,0.2252806044331523,0.11264030221657614,0.3379209066497284,0.22528060443315226,0.20846134119077253,0.20657107281055356,0.21035160957099153,0.0037805367604379636,0.020846134119077202,0.0206571072810553,0.0210351609570991,0.00037805367604379705,3.0,3.0,3.0,0.0
2,9.666666666666666,9.0,9.75,0.75,9.666666666666666,9.0,9.75,0.75,0.8696909950983637,0.8321304574316277,0.9164775136716998,0.0843470562400721,0.08696909950983629,0.0832130457431627,0.09164775136716995,0.00843470562400725,0.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,5.0,5.0,5.0,0.0,1.0310798896747113,1.0229233219202918,1.0392364574291306,0.01631313550883884,0.6229576366923929,0.603561937297404,0.6423533360873818,0.03879139878997773,0.3878220911288764,0.35645253226016227,0.4191916499975905,0.06273911773742824,0.3488126193118325,0.3274522772430762,0.3701729613805888,0.04272068413751262,0.03488126193118325,0.03274522772430762,0.037017296138058875,0.004272068413751252,4.0,4.0,4.0,0.0
3,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,0.8641207749754303,0.8285421823858423,0.9014950862197042,0.07295290383386188,0.086412077497543,0.0828542182385842,0.09014950862197038,0.00729529038338618,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.0,5.5,5.25,5.75,0.5,5.5,5.25,5.75,0.5,1.5174866596415448,1.4876601556598128,1.5473131636232769,0.059653007963464066,0.7069367295448066,0.6578285170037325,0.7560449420858806,0.09821642508214812,0.17441604792151594,0.08720802396075797,0.2616240718822739,0.1744160479215159,0.37881871978841597,0.34902222295304075,0.40861521662379113,0.05959299367075038,0.03788187197884155,0.03490222229530403,0.04086152166237907,0.005959299367075045,2.0,2.0,2.0,0.0
4,11.0,8.25,9.0,0.75,11.0,8.25,9.0,0.75,0.9425433820251236,0.8438550881308908,1.0313241755685425,0.18746908743765167,0.09425433820251233,0.08438550881308904,0.1031324175568542,0.018746908743765167,0.06280193236714975,0.0108695652173913,0.1111111111111111,0.10024154589371981,5.5,5.25,5.75,0.5,5.5,5.25,5.75,0.5,1.9203852953266853,1.8896549994432559,1.951115591210115,0.06146059176685914,0.8130388960610863,0.7596901814891056,0.8663876106330669,0.1066974291439613,0.0,0.0,-0.0,-0.0,0.36116799255084897,0.3507600113543979,0.3715759737473001,0.020815962392902232,0.03611679925508485,0.035076001135439724,0.03715759737472998,0.0020815962392902523,2.0,2.0,2.0,0.0
5,21.4,9.0,12.0,3.0,21.4,9.0,12.0,3.0,1.0650802868661722,1.0452935553678913,1.0929288145663485,0.047635259198457236,0.10650802868661713,0.1045293555367891,0.1092928814566348,0.00476352591984569,0.03787878787878786,0.0,0.0833333333333333,0.0833333333333333,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,2.18520758809846,2.1411476193174126,2.2292675568795075,0.08811993756209491,0.91482826064698,0.8958931189101613,0.9337634023837985,0.03787028347363719,0.2957360402026994,0.29128601162943,0.30018606877596876,0.008900057146538742,0.6108448314308541,0.560188007535694,0.6615016553260142,0.10131364779032026,0.061084483143085344,0.056018800753569326,0.06615016553260138,0.010131364779032051,4.0,4.0,4.0,0.0
6,8.6,8.0,9.0,1.0,8.6,8.0,9.0,1.0,0.9388229133728287,0.8562610032427267,0.8805354907007379,0.024274487458011196,0.09388229133728285,0.0856261003242727,0.0880535490700737,0.002427448745801003,0.04722222222222222,0.0,0.1111111111111111,0.1111111111111111,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,2.639769348396383,2.5970913082869096,2.682447388505856,0.08535608021894658,1.0143105035836575,0.9961578563358384,1.0324631508314766,0.03630529449563813,0.0,0.0,-0.0,-0.0,0.22928508396547637,0.22127353071974162,0.23729663721121108,0.016023106491469458,0.0229285083965476,0.022127353071974103,0.0237296637211211,0.0016023106491469957,2.0,2.0,2.0,0.0
7,9.6,9.0,10.0,1.0,9.6,9.0,10.0,1.0,1.2004354743611656,1.147373127662901,1.214505342866813,0.06713221520391222,0.12004354743611653,0.1147373127662901,0.1214505342866813,0.006713221520391208,0.14666666666666667,0.1,0.2,0.1,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,2.973650093593963,2.932499316997328,3.0148008701905975,0.0823015531932696,1.1627345193781524,1.144989348149213,1.1804796906070918,0.03549034245787874,0.0,0.0,-0.0,-0.0,0.5966256515161023,0.5940191328842916,0.5992321701479129,0.005213037263621212,0.0596625651516102,0.05940191328842915,0.05992321701479125,0.0005213037263621031,4.0,4.0,4.0,0.0
8,12.4,10.0,12.0,2.0,12.4,10.0,12.0,2.0,1.1581737602462359,1.0892941975065082,1.148632055884422,0.05933785837791383,0.11581737602462354,0.1089294197506508,0.1148632055884422,0.005933785837791389,0.08666666666666666,0.05,0.1,0.05,6.5,6.25,6.75,0.5,6.5,6.25,6.75,0.5,3.198536993093282,3.1590129406693275,3.238061045517237,0.0790481048479097,1.2280746595348473,1.1765843827891134,1.2795649362805812,0.10298055349146784,0.14341799152808035,0.07170899576404018,0.21512698729212054,0.14341799152808038,0.5047991630686453,0.5037580164851552,0.5058403096521354,0.0020822931669802758,0.05047991630686445,0.05037580164851543,0.050584030965213474,0.000208229316698047,3.5,3.25,3.75,0.5
9,17.8,10.0,10.0,0.0,17.8,10.0,10.0,0.0,1.296544087324723,1.1218978354909863,1.495666615662739,0.37376878017175263,0.12965440873247225,0.1121897835490987,0.1495666615662739,0.03737687801717521,0.13022222222222224,0.1,0.2,0.1,7.5,7.25,7.75,0.5,7.5,7.25,7.75,0.5,3.326312715216968,3.3000653813060987,3.352560049127838,0.05249466782173906,1.1804167828650645,1.1344310555222876,1.226402510207841,0.09197145468555346,0.33695753461724004,0.3310202540043441,0.342894815230136,0.011874561225791891,1.0271835867737071,1.0096628142463344,1.04470435930108,0.03504154505474566,0.1027183586773707,0.1009662814246334,0.10447043593010799,0.003504154505474588,3.0,3.0,3.0,0.0
10,33.0,11.0,15.0,4.0,33.0,11.0,15.0,4.0,1.2960018248356489,1.2104253405957108,1.3076971884435622,0.09727184784785137,0.12960018248356486,0.121042534059571,0.1307697188443562,0.009727184784785209,0.09500522466039706,0.0689655172413793,0.1333333333333333,0.06436781609195401,8.0,7.5,8.5,1.0,8.0,7.5,8.5,1.0,3.5720361833595375,3.52033559094699,3.6237367757720853,0.10340118482509553,1.2505007265298995,1.1706095998962776,1.3303918531635217,0.15978225326724416,0.2957360402026994,0.29128601162943,0.30018606877596876,0.008900057146538742,0.6654098876942115,0.5779756673672948,0.7528441080211282,0.17486844065383345,0.0665409887694211,0.057797566736729394,0.0752844108021128,0.01748684406538341,4.0,4.0,4.0,0.0
11,16.4,10.0,12.0,2.0,16.4,10.0,12.0,2.0,1.4166915565019569,1.260898403367576,1.4722866961046035,0.21138829273702742,0.14166915565019572,0.1260898403367576,0.1472286696104603,0.021138829273702697,0.10052631578947366,0.0833333333333333,0.1,0.016666666666666705,8.0,7.5,8.5,1.0,8.0,7.5,8.5,1.0,3.750403714606416,3.698191703089823,3.80261572612301,0.10442402303318721,1.356573104396022,1.2693844648220354,1.443761743970009,0.17437727914797363,0.0,0.0,-0.0,-0.0,0.5196754831665127,0.4996661326174466,0.5396848337155788,0.04001870109813227,0.05196754831665125,0.049966613261744626,0.05396848337155788,0.004001870109813253,4.0,4.0,4.0,0.0
12,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.1919715500447543,1.0342772401488092,1.3217014393282025,0.2874241991793933,0.11919715500447539,0.1034277240148809,0.1321701439328202,0.0287424199179393,0.04444444444444444,0.0,0.1111111111111111,0.1111111111111111,8.0,7.5,8.5,1.0,8.0,7.5,8.5,1.0,4.08420154194795,4.032211617673998,4.1361914662219,0.10397984854790199,1.4112694762992257,1.321362770875688,1.5011761817227633,0.17981341084707525,0.0,0.0,-0.0,-0.0,0.1598691441928104,0.1583014809677195,0.16143680741790128,0.0031353264501817746,0.015986914419281,0.0158301480967719,0.016143680741790102,0.0003135326450182038,2.0,2.0,2.0,0.0
13,17.0,11.0,12.0,1.0,17.0,11.0,12.0,1.0,1.4462849165595268,1.4132775923709084,1.4926312027085824,0.07935361033767396,0.14462849165595268,0.1413277592370908,0.1492631202708582,0.007935361033767407,0.14484848484848484,0.1,0.1666666666666666,0.0666666666666666,8.5,8.25,8.75,0.5,8.5,8.25,8.75,0.5,4.177688392285338,4.104775607182051,4.250601177388624,0.14582557020657294,1.42554246397779,1.378541672066338,1.4725432558892422,0.09400158382290424,0.2957360402026994,0.29128601162943,0.30018606877596876,0.008900057146538742,0.8705368938254388,0.8152840853216686,0.9257897023292088,0.11050561700754014,0.08705368938254379,0.0815284085321668,0.0925789702329208,0.01105056170075401,4.0,4.0,4.0,0.0
14,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.200482154796823,1.0800476648796904,1.2952474660199471,0.21519980114025672,0.12004821547968225,0.108004766487969,0.1295247466019947,0.0215199801140257,0.15555555555555556,0.1111111111111111,0.2222222222222222,0.1111111111111111,8.5,8.25,8.75,0.5,8.5,8.25,8.75,0.5,4.562394658461788,4.492939388025086,4.6318499288984905,0.13891054087340482,1.470862841517477,1.4234426431342297,1.518283039900724,0.09484039676649436,0.0,0.0,-0.0,-0.0,0.29237697566526344,0.28410660861980164,0.30064734271072524,0.016540734090923603,0.029237697566526402,0.028410660861980252,0.03006473427107255,0.0016540734090922972,2.0,2.0,2.0,0.0
15,12.4,9.0,10.0,1.0,12.4,9.0,10.0,1.0,1.4229233697200099,1.1703449979719027,1.5264782271555974,0.3561332291836947,0.14229233697200097,0.1170344997971903,0.1526478227155597,0.03561332291836941,0.13866666666666666,0.1111111111111111,0.16,0.0488888888888889,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,4.74243780473604,4.715772274814504,4.769103334657576,0.05333105984307185,1.476149064228886,1.4688912145296378,1.483406913928134,0.014515699398496285,0.25020121176909393,0.12510060588454697,0.3753018176536409,0.25020121176909393,1.314383822486243,1.2924691113347386,1.3362985336377473,0.04382942230300868,0.1314383822486243,0.12924691113347384,0.13362985336377475,0.004382942230300918,3.0,3.0,3.0,0.0
